license_plate,status,platform,created_at,shipped_at,sold_price,country,channel_ref,platform_fee
BW221109149982,shipped,Bol,2021-06-28T16:05:57,2021-06-28T20:16:58,29.25,BELGIUM,CB80-D31Q-MVG0,3.65
BW221109149966,shipped,Bva NL,2021-11-08T07:18:27,2021-11-09T16:11:00,128.7,NETHERLANDS,cdf03a42-88ed-46ac-2725-08d99c9b50a2,
BW221109149935,shipped,Bol,2021-08-20T09:32:30,2021-08-20T19:45:41,47.34,NETHERLANDS,840U-CEVP-QYX7,9.59
BW221109149920,shipped,Bva NL,2021-09-06T09:52:13,2021-09-06T12:20:49,18.72,NETHERLANDS,f28f6374-1ad8-4e9c-d829-08d96ca6598d,
BW221109149848,shipped,Bol,2021-08-11T16:53:54,2021-08-11T17:50:30,306.66,BELGIUM,LAHT-EDVD-U92Q,25.26
BW221109149847,shipped,Ebay,2021-09-30T12:33:41,2021-09-30T15:46:06,239.26,AUSTRIA,U1HT-JW0V-AQPM,17.38
BW221109149755,shipped,Bol,2021-09-29T20:04:49,2021-09-30T15:11:18,106.61,NETHERLANDS,N6Y4-XWB0-R0KG,7.68
BW221109149738,shipped,Bol,2021-06-25T06:54:53,2021-06-25T14:10:55,84.83,BELGIUM,2R0U-3AM8-F485,7.21
BW221109149711,shipped,Ebay,2021-06-24T20:20:08,2021-06-25T14:25:48,44.43,FRANCE,C0KK-8MUD-DYCH,4.08
BW221109149697,shipped,Bol,2021-08-01T14:46:51,2021-08-01T20:00:29,820.44,NETHERLANDS,VMY6-NWVC-RBQD,39.04
BW221109149658,shipped,Bol,2021-07-27T09:46:46,2021-07-27T14:30:44,32.2,NETHERLANDS,1FUX-X4HU-Q5LX,4.9
BW221109149626,shipped,Bol,2021-07-31T21:25:59,2021-08-01T20:03:15,22.48,BELGIUM,G6GQ-JQQK-7NG9,5.08
BW221109149600,shipped,Bol,2021-07-31T12:25:53,2021-08-01T20:05:54,109.14,NETHERLANDS,PA6D-RVGA-FM8J,7.6
BW221109149597,shipped,Bol,2021-08-03T09:54:11,2021-08-03T12:05:57,26.29,NETHERLANDS,2M2F-GJHD-FXLF,5.77
BW221109149592,shipped,Bol,2021-07-13T12:48:03,2021-07-13T16:31:08,35.43,NETHERLANDS,RKCD-W25K-8UH1,4
BW221109149444,shipped,Bol,2021-08-06T11:46:50,2021-08-06T19:40:25,189.6,NETHERLANDS,P0LP-08R7-PE06,30.82
BW221109149436,shipped,Bol,2021-08-03T06:11:45,2021-08-03T12:26:21,22.64,NETHERLANDS,P6VM-QWQH-5Q4T,5.11
BW221109149372,shipped,Bol,2021-08-13T10:46:49,2021-08-13T12:56:33,59.02,NETHERLANDS,C99R-VG9M-7C0L,6.36
BW221109149275,shipped,Amazon,2021-10-15T04:15:07,2021-10-15T14:50:54,13.33,AUSTRIA,VT8G-9F9R-VM0N,2.85
BW221109149167,shipped,Bva NL,2021-06-30T11:17:06,2021-06-30T13:33:39,25.74,NETHERLANDS,8906752f-edc0-455c-158c-08d93857fc48,
BW221109149138,shipped,Bol,2021-08-03T03:11:47,2021-08-03T12:41:08,33.69,NETHERLANDS,TXK1-3D8M-KD99,7.11
BW221109149136,shipped,Bol,2021-09-22T12:54:02,2021-09-22T14:26:02,27.11,NETHERLANDS,4UWA-M6TJ-CAWJ,2.97
BW221109149129,shipped,Bol,2021-06-30T09:05:56,2021-06-30T13:29:35,37.55,NETHERLANDS,FF9D-XDNH-FQU1,3.27
BW221109149018,shipped,Bva NL,2021-08-13T07:31:19,2021-08-13T12:51:53,35.1,NETHERLANDS,48d6c305-fa26-4b10-1587-08d95cdd500b,
BW221109148944,shipped,Bol,2021-06-29T21:07:09,2021-06-30T13:23:34,20.27,NETHERLANDS,98YX-V7KF-C7TL,4.19
BW221109148876,shipped,Bol,2021-10-14T18:39:44,2021-10-15T14:16:09,30.6,BELGIUM,3TMR-KRNR-J0U8,6.55
BW221109148871,shipped,Bol,2021-09-02T18:32:50,2021-09-03T13:55:38,112.45,BELGIUM,YE61-WC8T-XN8U,9.16
BW221109148866,shipped,Bol,2021-10-20T15:32:59,2021-10-20T18:56:09,46.64,BELGIUM,4541-N7CC-BX19,8.34
BW221109148841,shipped,Bol,2021-10-13T17:11:43,2021-10-13T19:51:01,56.28,NETHERLANDS,NK47-63V4-2XP6,5.09
BW221109148703,shipped,Amazon,2021-10-12T13:36:04,2021-10-12T16:05:47,40.59,GERMANY,10JF-45PV-NY54,7.7
BW221109148670,shipped,Bol,2021-08-19T15:11:45,2021-08-19T18:00:49,339.51,NETHERLANDS,6BWR-WBWV-3FQM,56.41
BW221109148668,shipped,Bol,2021-08-25T10:11:55,2021-08-25T15:45:51,247.44,NETHERLANDS,RH60-80C2-P24X,20.96
BW221109148664,shipped,Bol,2021-08-25T10:11:54,2021-08-25T15:45:46,308.17,NETHERLANDS,M98J-1X4M-19A8,25.37
BW221109148595,shipped,Bol,2021-07-10T07:46:46,2021-07-12T20:05:58,63.06,NETHERLANDS,38GK-U3WN-QTV3,5.58
BW221109148510,shipped,Bol,2021-06-24T20:33:27,2021-06-25T11:57:22,28.29,BELGIUM,VDLW-QJNP-X660,3.05
BW221109148492,shipped,Bol,2021-07-11T14:12:00,2021-07-12T20:05:28,90.74,BELGIUM,5DVB-3EFG-UC6P,8.69
BW221109148489,cancelled,Bol,2021-08-31T06:18:49,,118.4,,AD5T-0RMG-4BKN,8.2
BW221109148370,shipped,Bol,2021-12-07T18:11:46,2021-12-07T20:22:00,49.93,NETHERLANDS,EEQL-0Q9G-8VJM,4.63
BW221109148345,shipped,Amazon,2021-09-05T13:43:12,2021-09-06T20:11:03,43.17,FRANCE,KD3J-XTXQ-TW8J,8
BW221109148332,shipped,Bva NL,2021-10-13T16:10:01,2021-10-13T19:50:51,7.02,NETHERLANDS,8d002437-a53a-4253-7edc-08d9886e8150,
BW221109148241,shipped,Bol,2021-07-12T15:53:56,2021-07-12T20:05:53,51.92,NETHERLANDS,PEJ8-FUB3-JBTX,10.42
BW221109148209,shipped,Bol,2021-09-22T09:11:53,2021-09-22T12:40:49,95.97,NETHERLANDS,JU9N-JXTB-E2FG,9.13
BW221109148156,shipped,Bol,2022-01-26T14:25:46,2022-01-26T20:58:47,330.25,NETHERLANDS,JWAX-DTHC-UX3M,26.98
BW221109148016,shipped,Bol,2021-07-09T20:12:03,2021-07-12T20:06:01,941.91,NETHERLANDS,T6VK-VHQQ-4EFD,59.99
BW221109147976,shipped,Bol,2021-12-06T13:32:48,2021-12-06T19:31:01,53.91,NETHERLANDS,XYWH-LT4F-4RG6,10.78
BW221109147910,shipped,Bol,2021-12-01T08:53:54,2021-12-01T17:57:53,60.69,NETHERLANDS,M0GA-GPNL-GBPJ,12.02
BW221109147901,shipped,Bva NL,2021-10-13T12:45:03,2021-10-13T19:51:10,12.87,NETHERLANDS,6ede82f1-292f-4256-421e-08d98a1b725a,
BW221109147817,shipped,Bol,2021-11-29T19:46:47,2021-11-30T14:56:23,53.91,NETHERLANDS,BJL1-2CDJ-5F39,10.78
BW221109147748,shipped,Bol,2021-07-13T11:46:54,2021-07-13T18:25:20,119.66,NETHERLANDS,6WGD-6AJ3-ER9D,9.69
BW221109147675,shipped,Bol,2021-07-25T15:11:53,2021-07-25T17:56:51,31.36,NETHERLANDS,VBY2-L1VW-WGLW,5.93
BW221109147669,shipped,Bol,2021-07-24T15:53:56,2021-07-25T17:56:02,37.68,BELGIUM,GCYW-QKJ7-91PW,6.93
BW221109147569,shipped,Bol,2021-12-26T17:39:45,2021-12-27T14:31:46,269.39,NETHERLANDS,80N4-R240-6QXA,49.89
BW221109147542,shipped,Ebay,2021-09-15T12:19:19,2021-09-15T18:05:45,41.43,GERMANY,6365-RCAA-6QN2,5.38
BW221109147541,shipped,Ebay,2021-12-25T09:25:53,2021-12-27T14:50:57,114.66,NETHERLANDS,FG5V-UNXC-FXB6,10.99
BW221109147528,shipped,Bol,2022-01-25T19:32:47,2022-01-26T21:01:02,415.31,NETHERLANDS,XJTF-LH50-5QUJ,21.24
BW221109147503,shipped,Bva NL,2021-10-13T04:38:01,2021-10-13T14:11:11,99.45,NETHERLANDS,8fb120fd-e277-4164-b704-08d98936e0af,
BW221109147499,cancelled,Bol,2022-07-22T11:04:49,,346.68,,VGJN-AB6V-618G,28.17
BW221109147268,shipped,Bva NL,2021-10-13T06:46:08,2021-10-13T18:20:59,8.19,NETHERLANDS,26a8c271-fc60-43d2-4122-08d98a1b725a,
BW221109147219,shipped,Amazon,2021-11-26T12:22:13,2021-11-26T16:46:17,32.06,FRANCE,35DM-LG18-HFPM,2.77
BW221109147218,shipped,Bol,2022-04-18T08:39:43,2022-04-18T14:28:02,85.45,NETHERLANDS,M2BC-2F33-BLLQ,9.2
BW221109147169,shipped,Bol,2021-12-24T13:32:55,2021-12-27T14:46:37,83.79,BELGIUM,XGDT-DH4E-1J2G,9.08
BW221109147073,shipped,Bol,2022-03-13T19:46:46,2022-03-14T10:07:33,51.44,NETHERLANDS,RV3L-UDB8-RVVX,5.36
BW221109147047,shipped,Ebay,2021-11-30T12:40:28,2021-11-30T15:17:30,30.19,FRANCE,Q0D5-YK05-WGBL,3.34
